Brand,Apr_1_2025,May_15_2025,Percent_Change,Absolute_Change,Price_Ratio,High_Growth,Cluster,Z_change,Outlier
Ray-Ban,173.05,201.15,18.3,28.099999999999994,1.1623808147934123,0,0,-0.5127210079159645,0
Ralph Lauren,187.84,197.13,13.24,9.289999999999992,1.0494569846678024,0,0,-0.6579864576796635,0
Tory Burch,333.14,356.25,12.11,23.110000000000014,1.0693702347361471,0,0,-0.6904271608877623,0
Calvin Klein,71.61,78.29,10.43,6.680000000000007,1.0932830610249966,0,0,-0.7386575868962632,0
Alexander McQueen,719.52,760.45,9.5,40.930000000000064,1.0568851456526573,0,2,-0.7653565727223975,0
Balenciaga,1112.1,1176.11,8.36,64.00999999999999,1.0575577735815125,0,2,-0.7980843617995945,0
Michael Kors,252.83,252.61,7.77,-0.21999999999999886,0.999129850096903,0,0,-0.8150224280763895,0
Gucci,829.51,870.95,7.75,41.440000000000055,1.049957203650348,0,2,-0.8155965998145859,0
Burberry,675.12,687.85,5.59,12.730000000000018,1.0188559070979974,0,2,-0.8776071475398012,0
Adidas,87.32,88.64,4.22,1.3200000000000074,1.0151168117269813,0,0,-0.9169379116062573,0
Patagonia,115.14,116.34,3.63,1.2000000000000028,1.0104220948410632,0,0,-0.9338759778830521,0
Puma,69.23,70.2,3.46,0.9699999999999989,1.0140112667918533,0,0,-0.9387564376577219,0
La Mer,290.24,293.89,2.55,3.6499999999999773,1.0125757993384785,0,0,-0.9648812517456599,0
Coach,210.97,211.37,2.55,0.4000000000000057,1.0018960041712093,0,0,-0.9648812517456599,0
New Balance,104.26,105.41,1.51,1.1499999999999915,1.0110301170151543,0,0,-0.9947381821318747,0
NIKE,75.41,76.31,1.15,0.9000000000000057,1.0119347566635726,0,0,-1.0050732734194106,0
Alo,108.87,109.96,0.94,1.0899999999999892,1.0100119408468815,0,0,-1.0111020766704732,0
Lululemon,71.58,70.08,0.75,-1.5,0.9790444258172674,0,0,-1.0165567081833393,0
Givenchy,809.39,781.74,0.66,-27.649999999999977,0.9658384709472566,0,2,-1.0191404810052234,0
Arc'teryx,228.89,225.56,-0.74,-3.329999999999984,0.9854515269343354,0,0,-1.059332502678974,0
Hotel Collection,106.1,239.08,119.44,132.98000000000002,2.253345900094251,1,0,2.390865472143424,1
Unwritten,20.67,44.62,118.85,23.949999999999996,2.1586840832123846,1,0,2.373927405866629,1
Macy's,590.32,1202.87,101.3,612.5499999999998,2.037657541672313,1,1,1.8700917055992547,0
Marc New York,98.16,187.02,84.46,88.86000000000001,1.9052567237163816,1,0,1.3866391020378535,0
Billieblush,46.12,74.79,80.49,28.67000000000001,1.6216392020815267,1,0,1.2726660120058604,0
Giani Bernini,32.36,58.66,80.12,26.299999999999997,1.8127317676143386,1,0,1.2620438348492267,0
Effy,1006.34,1716.42,70.45,710.08,1.7056064550748256,1,1,0.9844317994312486,0
Samsonite,235.62,330.07,67.21,94.44999999999999,1.4008573126220185,1,0,0.8914159778434253,0
Carter's,16.28,25.12,61.07,8.84,1.5429975429975429,1,0,0.7151452542171189,0
First Impressions,10.9,16.93,58.81,6.029999999999999,1.5532110091743119,1,0,0.6502638478009214,0
Charter Club,40.22,66.48,58.19,26.260000000000005,1.652909000497265,1,0,0.6324645239168317,0
8 by YOOX,71.35,94.98,57.06,23.63000000000001,1.3311843027330064,1,0,0.6000238207087331,0
Mancini Leather,81.31,123.28,52.43,41.97,1.516172672488009,1,0,0.4671030633162575,0
Kipling,63.08,93.04,51.17,29.960000000000008,1.474952441344325,1,0,0.43093024380988193,0
Mou,159.01,243.48,48.99,84.47,1.5312244512923716,1,0,0.36834552434647017,0
Kurt Geiger,151.42,213.61,48.01,62.190000000000026,1.4107119270902129,1,0,0.34021110917484454,0
Disney,42.88,64.3,45.67,21.419999999999995,1.4995335820895521,1,0,0.27303301580586137,0
LA Pop Art,24.14,34.52,43.15,10.380000000000003,1.4299917149958576,1,0,0.20068737679311005,0
Nautica,51.37,76.19,43.09,24.82,1.4831613782363247,1,0,0.19896486157852086,0
2028,32.66,46.61,42.69,13.950000000000003,1.4271279853031231,1,0,0.18748142681459193,0
